file,line,function,response_type,current_visibility,proposed_visibility,review_tag,title,message,proposed_message
pkg/discord/commands/admin/service_commands.go,138,(*MetricsCommand).Handle,Ephemeral,ephemeral,ephemeral,read-list-preview,,,
pkg/discord/commands/admin/service_commands.go,144,(*MetricsCommand).Handle,Info,public,ephemeral,read-list-preview,,summary,
pkg/discord/commands/admin/service_commands.go,267,(*MetricsWatchCommand).Handle,Ephemeral,ephemeral,ephemeral,read-list-preview,,,
pkg/discord/commands/admin/service_commands.go,267,(*MetricsWatchCommand).Handle,Success,ephemeral,public,short-confirmation,,"fmt.Sprintf(""Starting a live metrics watch for this channel. Updates will run every %ds for %ds."", intervalSec, durationSec)",
pkg/discord/commands/admin/service_commands.go,441,(*ServiceStatusCommand).Handle,Custom,custom,ephemeral,read-list-preview,,,
pkg/discord/commands/admin/service_commands.go,512,(*ServiceListCommand).Handle,Custom,custom,ephemeral,read-list-preview,,,
pkg/discord/commands/admin/service_commands.go,561,(*ServiceRestartCommand).Handle,Info,public,ephemeral,read-list-preview,,"fmt.Sprintf(""Restarting service %s now. This reply stays private while the restart runs."", serviceName)",
pkg/discord/commands/admin/service_commands.go,568,(*ServiceRestartCommand).Handle,Error,public,ephemeral,error-or-detailed,,,
pkg/discord/commands/admin/service_commands.go,570,(*ServiceRestartCommand).Handle,EditResponse,custom,ephemeral,read-list-preview,,"fmt.Sprintf(""Service %s couldn't be restarted. This reply stays private because it includes internal service details: %v"", serviceName, err)",
pkg/discord/commands/admin/service_commands.go,573,(*ServiceRestartCommand).Handle,EditResponse,custom,review,custom-response,,"fmt.Sprintf(""Service %s was restarted."", serviceName)",
pkg/discord/commands/admin/service_commands.go,663,(*HealthCheckCommand).Handle,Custom,custom,review,custom-response,,,
pkg/discord/commands/admin/service_commands.go,731,(*SystemInfoCommand).Handle,Custom,custom,review,custom-response,,,
pkg/discord/commands/config/config_commands.go,97,(*pingCommand).Handle,Success,public,public,short-confirmation,,Bot is responding normally.,Bot is responding normally.
pkg/discord/commands/config/config_commands.go,135,(*echoCommand).Handle,Ephemeral,ephemeral,ephemeral,keep-current-ephemeral,,,
pkg/discord/commands/config/config_commands.go,135,(*echoCommand).Handle,Info,ephemeral,ephemeral,read-list-preview,,"fmt.Sprintf(""Here is the requested echo text. This reply stays private because echo output is usually only useful to the person who ran the command: %s"", message)",
pkg/discord/commands/config/config_commands.go,140,(*echoCommand).Handle,Info,public,ephemeral,read-list-preview,,"fmt.Sprintf(""Echo from this command: %s"", message)",
pkg/discord/commands/config/config_commands.go,237,(*ConfigSetSubCommand).Handle,Error,public,ephemeral,error-or-detailed,,,
pkg/discord/commands/config/config_commands.go,241,(*ConfigSetSubCommand).Handle,Success,public,public,short-confirmation,,"fmt.Sprintf(""Configuration `%s` is now set to `%s`."", key, value)",
pkg/discord/commands/config/config_commands.go,301,(*ConfigGetSubCommand).Handle,Info,public,ephemeral,read-list-preview,,b.String(),
pkg/discord/commands/config/config_commands.go,361,(*ConfigListSubCommand).Handle,Info,public,ephemeral,read-list-preview,,"strings.Join(options, ""\n"")",
pkg/discord/commands/config/qotd_commands.go,70,(*QOTDEnabledSubCommand).Handle,Success,public,public,short-confirmation,,"fmt.Sprintf(""QOTD publishing is now %s for deck `%s`."", state, updatedDeck.Name)",
pkg/discord/commands/config/qotd_commands.go,120,(*QOTDChannelSubCommand).Handle,Success,public,public,short-confirmation,,"fmt.Sprintf(""QOTD posts for deck `%s` will now go to <#%s>. Publishing stays %s."", updatedDeck.Name, channelID, state)",
pkg/discord/commands/config/qotd_commands.go,170,(*QOTDScheduleSubCommand).Handle,Success,public,public,short-confirmation,,"fmt.Sprintf(""QOTD for the active deck will now post at %s UTC."", formatQOTDSchedule(updatedConfig.Schedule))",
pkg/discord/commands/config/qotd_commands.go,203,updateQOTDConfig,Error,public,ephemeral,error-or-detailed,,,
pkg/discord/commands/config/qotd_commands.go,265,translateQOTDConfigError,Error,public,ephemeral,error-or-detailed,,,
pkg/discord/commands/config/service_commands.go,61,(*CommandsEnabledSubCommand).Handle,Success,public,public,short-confirmation,,"fmt.Sprintf(""Slash commands are now %s in this server."", state)",
pkg/discord/commands/config/service_commands.go,101,(*CommandChannelSubCommand).Handle,Success,public,public,short-confirmation,,"fmt.Sprintf(""Command references will now point people to <#%s>."", channelID)",
pkg/discord/commands/config/service_commands.go,143,(*AllowedRoleAddSubCommand).Handle,Success,public,public,short-confirmation,,"fmt.Sprintf(""<@&%s> can now use the admin slash commands."", roleID)",
pkg/discord/commands/config/service_commands.go,182,(*AllowedRoleRemoveSubCommand).Handle,Success,public,public,short-confirmation,,"fmt.Sprintf(""<@&%s> can no longer use the admin slash commands."", roleID)",
pkg/discord/commands/config/service_commands.go,205,(*AllowedRoleListSubCommand).Handle,Ephemeral,ephemeral,ephemeral,read-list-preview,,,
pkg/discord/commands/config/service_commands.go,205,(*AllowedRoleListSubCommand).Handle,Info,ephemeral,ephemeral,read-list-preview,,No roles have admin slash command access yet. This reply stays private because it reflects the current server setup.,No roles have admin slash command access yet. This reply stays private because it reflects the current server setup.
pkg/discord/commands/config/service_commands.go,216,(*AllowedRoleListSubCommand).Handle,Ephemeral,ephemeral,ephemeral,read-list-preview,,,
pkg/discord/commands/config/service_commands.go,216,(*AllowedRoleListSubCommand).Handle,Info,ephemeral,ephemeral,read-list-preview,,No roles have admin slash command access yet. This reply stays private because it reflects the current server setup.,No roles have admin slash command access yet. This reply stays private because it reflects the current server setup.
